name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
MAG-7 | Sonar,Glove Case,Mil-Spec,3.2,WW,YOUPIN,,False,Restricted,10.0,,破损,,3.2,,
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,0.72,BS,BUFF,,False,Restricted,10.0,,战痕,,0.72,,
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,9.32,FN,YOUPIN,,False,Restricted,10.0,,战痕,,9.32,,
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,1.25,FT,YOUPIN,,False,Restricted,10.0,,战痕,,1.25,,
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,1.59,MW,BUFF,,False,Restricted,10.0,,战痕,,1.59,,
MP5-SD | Desert Strike,Prisma 2 Case,Mil-Spec,0.8,WW,BUFF,,False,Restricted,10.0,,战痕,,0.8,,
MP5-SD | Necro Jr.,Dreams & Nightmares Case,Mil-Spec,0.45,BS,YOUPIN,,False,Restricted,10.0,,战痕,,0.45,,
MP5-SD | Necro Jr.,Dreams & Nightmares Case,Mil-Spec,6.47,FN,BUFF,,False,Restricted,10.0,,战痕,,6.47,,
MP5-SD | Necro Jr.,Dreams & Nightmares Case,Mil-Spec,0.57,FT,BUFF,,False,Restricted,10.0,,战痕,,0.57,,
MP5-SD | Necro Jr.,Dreams & Nightmares Case,Mil-Spec,1.39,MW,YOUPIN,,False,Restricted,10.0,,战痕,,1.39,,
MP5-SD | Necro Jr.,Dreams & Nightmares Case,Mil-Spec,0.47,WW,YOUPIN,,False,Restricted,10.0,,战痕,,0.47,,
MP9 | Airlock,Gamma 2 Case,Classified,72.45,BS,C5,,False,Covert,10.0,,战痕,,72.45,,
